rule_id,domain,legacy_rule_name,legacy_status,target_disposition,target_test_id,decision_id,owner,evidence,decision_status,notes
BR-EVOLUCAO-003,EVOLUCAO,Concorrência otimista por versão,ativo,preserve,PT-EVOLUCAO-003,unassigned,responsavel_clinico+engenharia,apps/api/src/routes/sessions.ts:249-268;packages/db/src/schema/sessions.ts:197,proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-004,EVOLUCAO,Edição pós-finalização marca is_edited,ativo,preserve,PT-EVOLUCAO-004,unassigned,responsavel_clinico+engenharia,apps/api/src/routes/sessions.ts:236-244;packages/db/src/schema/sessions.ts:192,proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-005,EVOLUCAO,Finalização única com autor e timestamp,ativo,preserve,PT-EVOLUCAO-005,unassigned,responsavel_clinico+engenharia,apps/api/src/routes/sessions.ts:379-404;apps/api/src/routes/sessions.ts:430-445,proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-006,EVOLUCAO,Normalização de status legados,ativo,correct,PT-EVOLUCAO-006,unassigned,responsavel_clinico+engenharia,apps/api/src/routes/sessions.ts:55-63,proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-007,EVOLUCAO,Colaboração em tempo real na observação (Yjs),ativo,defer_experiment,PT-EVOLUCAO-007,unassigned,responsavel_clinico+engenharia,apps/api/migrations/0139* (observacao_ydoc);apps/api/src/index.ts (DO binding),proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-008,EVOLUCAO,Ditado por voz gated por flag,ativo,preserve,PT-EVOLUCAO-008,unassigned,responsavel_clinico+engenharia,src/hooks/useDictationEnabled.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-009,EVOLUCAO,Budget mensal de transcrição com hard stop,ativo,preserve,PT-EVOLUCAO-009,unassigned,responsavel_clinico+engenharia,apps/api/src/lib/audioTranscriptionBudget.ts:60-128,proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-010,EVOLUCAO,Sessão sem evolução vira tarefa,ativo,preserve,PT-EVOLUCAO-010,unassigned,responsavel_clinico+engenharia,apps/api/src/cron.ts:135-152,proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-011,EVOLUCAO,Arquivamento de sessões >90 dias,ativo,preserve,PT-EVOLUCAO-011,unassigned,responsavel_clinico+engenharia,apps/api/src/cron.ts:271-281;apps/api/migrations/0095_sessions_archive_metadata.sql:20-26,proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-012,EVOLUCAO,Autosave semi-controlado no editor (frontend-only),ativo,correct,PT-EVOLUCAO-012,unassigned,responsavel_clinico+engenharia,src/lib (richTextSync.ts);src/components/evolution/v2-improved/NotionEvolutionPanel.tsx:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-013,EVOLUCAO,Alertas clínicos com severidade e ciclo,ativo,correct,PT-EVOLUCAO-013,unassigned,responsavel_clinico+engenharia,apps/api/migrations/0096_clinical_alerts.sql:10-13;apps/api/src/cron.ts:250-268,proposed,Validar disposicao e automatizar comportamento alvo
BR-PACIENTE-001,PACIENTE,Dedup de paciente por telefone E.164,ativo,correct,PT-PACIENTE-001,unassigned,responsavel_clinico+engenharia,apps/api/src/lib/contacts.ts:1;src/lib/validations/agenda.ts:74-75,proposed,Validar disposicao e automatizar comportamento alvo
BR-PACIENTE-002,PACIENTE,Pré-cadastro por link/token,ativo,correct,PT-PACIENTE-002,unassigned,responsavel_clinico+engenharia,src/routes/auth.tsx:45-46;apps/api/src/routes/precadastro.ts:1;src/pages/PreCadastroAdmin.tsx:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-PACIENTE-003,PACIENTE,Aniversários automatizados,ativo,preserve,PT-PACIENTE-003,unassigned,responsavel_clinico+engenharia,apps/api/src/cron.ts:91;apps/api/src/cron.ts:363,proposed,Validar disposicao e automatizar comportamento alvo
BR-PACIENTE-004,PACIENTE,Reativação de inativos e recall,ativo,preserve,PT-PACIENTE-004,unassigned,responsavel_clinico+engenharia,apps/api/src/cron.ts:92-93;apps/api/src/cron.ts:243-248,proposed,Validar disposicao e automatizar comportamento alvo
BR-PACIENTE-005,PACIENTE,Evasão na 3ª sessão,ativo,preserve,PT-PACIENTE-005,unassigned,responsavel_clinico+engenharia,apps/api/src/cron.ts:96-99,proposed,Validar disposicao e automatizar comportamento alvo
BR-PACIENTE-006,PACIENTE,Portal do paciente restrito ao próprio dado,ativo,preserve,PT-PACIENTE-006,unassigned,responsavel_clinico+engenharia,src/components/ProtectedRoute.tsx:179;src/routes/patients.tsx:115,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-001,FINANCEIRO,Pacote deve ter ao menos 1 sessão,ativo,preserve,PT-FINANCEIRO-001,unassigned,produto+engenharia,apps/api/migrations/0039_session_packages.sql:9,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-002,FINANCEIRO,Estados do pacote do paciente,parcial,correct,PT-FINANCEIRO-002,unassigned,produto+engenharia,apps/api/migrations/0039_session_packages.sql:31;packages/db/src/schema/financial.ts:235-240;apps/api/src/routes/packages.ts:248-266,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-003,FINANCEIRO,Consumo de sessão do pacote é atômico e limitado,ativo,preserve,PT-FINANCEIRO-003,unassigned,produto+engenharia,apps/api/src/routes/packages.ts:245;apps/api/src/routes/packages.ts:263-266,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-004,FINANCEIRO,Expiração lazy do pacote,ativo,preserve,PT-FINANCEIRO-004,unassigned,produto+engenharia,apps/api/src/routes/packages.ts:248-251,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-005,FINANCEIRO,Renewal gate na penúltima sessão,ativo,preserve,PT-FINANCEIRO-005,unassigned,produto+engenharia,apps/api/src/routes/packages.ts:277-278,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-006,FINANCEIRO,Comissão default 40% quando não configurada,ativo,correct,PT-FINANCEIRO-006,unassigned,produto+engenharia,apps/api/src/routes/commissions.ts:30-31,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-007,FINANCEIRO,Taxa de comissão entre 0 e 100,ativo,preserve,PT-FINANCEIRO-007,unassigned,produto+engenharia,apps/api/src/routes/commissions.ts:86-97,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-008,FINANCEIRO,Payout de comissão por período,ativo,preserve,PT-FINANCEIRO-008,unassigned,produto+engenharia,apps/api/src/routes/commissions.ts:106-142;apps/api/src/routes/commissions.ts:33-41,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-009,FINANCEIRO,Voucher: tipos e validações (frontend),ativo,defer_experiment,PT-FINANCEIRO-009,unassigned,produto+engenharia,src/lib/validations/voucher.ts:3-11,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-010,FINANCEIRO,Pagamento de evento: valor positivo (frontend),ativo,correct,PT-FINANCEIRO-010,unassigned,produto+engenharia,src/lib/validations/pagamento.ts:5-14,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-011,FINANCEIRO,NFS-e: rascunho e homologação por default,ativo,defer_experiment,PT-FINANCEIRO-011,unassigned,produto+engenharia,packages/db/src/schema/financial.ts:373-404;apps/api/migrations/0035_nfse.sql:52;apps/api/src/lib/nfseSPClient.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-012,FINANCEIRO,Pagamento em atraso vira tarefa,ativo,preserve,PT-FINANCEIRO-012,unassigned,produto+engenharia,apps/api/src/cron.ts:153-157,proposed,Validar disposicao e automatizar comportamento alvo
BR-FINANCEIRO-013,FINANCEIRO,Transação financeira nasce pendente; recibo nasce pago,ativo,correct,PT-FINANCEIRO-013,unassigned,produto+engenharia,packages/db/src/schema/financial.ts:34;packages/db/src/schema/financial.ts:59;packages/db/src/schema/financial.ts:134,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-001,CRM,Automations WhatsApp gated por org (default OFF),ativo,correct,PT-CRM-001,unassigned,produto+engenharia,apps/api/src/lib/whatsappAutomations.ts:5-17;apps/api/src/lib/exerciseReminders.ts:1;apps/api/src/lib/tarefaNotifications.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-002,CRM,Janela de 24h do WhatsApp e templates,ativo,preserve,PT-CRM-002,unassigned,produto+engenharia,apps/api/src/routes/whatsapp-inbox.ts:2958;apps/api/src/routes/whatsapp-inbox.ts:1114,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-003,CRM,Janela do Instagram (7 dias / Human Agent),ativo,defer_experiment,PT-CRM-003,unassigned,produto+engenharia,apps/api/src/routes/whatsapp-inbox.ts:1204-1261,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-004,CRM,Apagar para todos com janela limitada,ativo,preserve,PT-CRM-004,unassigned,produto+engenharia,apps/api/src/routes/whatsapp-inbox.ts:1555-1560,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-005,CRM,Limite de 16MB para mídia no inbox,ativo,preserve,PT-CRM-005,unassigned,produto+engenharia,apps/api/src/routes/whatsapp-inbox.ts:3025,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-006,CRM,Temperatura do lead por recência,ativo,defer_experiment,PT-CRM-006,unassigned,produto+engenharia,apps/api/src/routes/whatsapp-inbox.ts:288,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-007,CRM,Lead score híbrido 0-100,ativo,defer_experiment,PT-CRM-007,unassigned,produto+engenharia,apps/api/src/lib/leadScore.ts:21-73;apps/api/src/cron.ts:35-44,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-008,CRM,Roteamento automático de leads,ativo,defer_experiment,PT-CRM-008,unassigned,produto+engenharia,apps/api/src/lib/leadRouting.ts:6-30,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-009,CRM,Campanha agendada dispara na hora,ativo,defer_experiment,PT-CRM-009,unassigned,produto+engenharia,apps/api/src/cron.ts:311-334,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-010,CRM,SLA de leads com escalonamento,ativo,defer_experiment,PT-CRM-010,unassigned,produto+engenharia,apps/api/src/cron.ts:66-71;packages/db/src/schema/whatsapp-inbox.ts:296-306,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-011,CRM,Concierge Instagram auto-reply,ativo,defer_experiment,PT-CRM-011,unassigned,produto+engenharia,apps/api/src/cron.ts:73-84;apps/api/src/cron.ts:292-298,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-012,CRM,Webchat: handoff limitado a 1 por 30min + tarefa,ativo,defer_experiment,PT-CRM-012,unassigned,produto+engenharia,apps/api/src/routes/webchat.ts:37-112;apps/api/src/routes/webchat.ts:341-357,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-013,CRM,Webchat com rate limit,ativo,defer_experiment,PT-CRM-013,unassigned,produto+engenharia,apps/api/src/routes/webchat.ts:155-163,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-014,CRM,Janela humana de 15min pausa automações,ativo,defer_experiment,PT-CRM-014,unassigned,produto+engenharia,apps/api/src/routes/webchat.ts:306;apps/api/src/lib/inboxAi.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-015,CRM,Auto-reply do webchat configurável com delay 0-20s,ativo,defer_experiment,PT-CRM-015,unassigned,produto+engenharia,src/pages/CrmWhatsAppSettings.tsx:1;apps/api/src/routes/webchat.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-016,CRM,Guardas anti-alucinação do concierge,ativo,defer_experiment,PT-CRM-016,unassigned,produto+engenharia,apps/api/src/lib/patientAssistantGuardrails.ts:1;apps/api/src/routes/feriados.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-017,CRM,Templates Meta: restrições de formato (frontend),ativo,correct,PT-CRM-017,unassigned,produto+engenharia,src/lib (templateValidation.ts);src/components/whatsapp (TemplateBuilderDialog.tsx),proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-018,CRM,GET de conversa marca como lida,ativo,preserve,PT-CRM-018,unassigned,produto+engenharia,apps/api/src/routes/whatsapp-inbox.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-019,CRM,Status de conversa e prioridade,ativo,preserve,PT-CRM-019,unassigned,produto+engenharia,packages/db/src/schema/whatsapp-inbox.ts:57-59;packages/db/src/schema/whatsapp-inbox.ts:104;apps/api/src/routes/whatsapp-webhook.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-020,CRM,Webhook roteado por phone_number_id,ativo,preserve,PT-CRM-020,unassigned,produto+engenharia,apps/api/src/routes/whatsapp-webhook.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-TAREFAS-001,TAREFAS,Bloqueio por dependências abertas (409),ativo,correct,PT-TAREFAS-001,unassigned,produto+engenharia,apps/api/src/routes/tarefas.ts:666-681,proposed,Validar disposicao e automatizar comportamento alvo
BR-TAREFAS-002,TAREFAS,Recorrência on-complete,ativo,correct,PT-TAREFAS-002,unassigned,produto+engenharia,apps/api/src/routes/tarefas.ts:187-248,proposed,Validar disposicao e automatizar comportamento alvo
BR-TAREFAS-003,TAREFAS,Confirmação de leitura (acknowledgment),ativo,correct,PT-TAREFAS-003,unassigned,produto+engenharia,packages/db/src/schema/tasks.ts:59;apps/api/src/routes/tarefas.ts:616-617,proposed,Validar disposicao e automatizar comportamento alvo
BR-TAREFAS-004,TAREFAS,Prioridades e urgência notificada,ativo,correct,PT-TAREFAS-004,unassigned,produto+engenharia,packages/db/src/schema/tasks.ts:14;apps/api/src/cron.ts:139-145;apps/api/src/lib/tarefaNotifications.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-TAREFAS-005,TAREFAS,Automations por vencimento e por estagnação,ativo,correct,PT-TAREFAS-005,unassigned,produto+engenharia,apps/api/src/cron.ts:135-160,proposed,Validar disposicao e automatizar comportamento alvo
BR-NPS-001,NPS,Resposta NPS: inteiro 0-10 via token público,ativo,preserve,PT-NPS-001,unassigned,produto+engenharia,apps/api/src/routes/nps.ts:166-180,proposed,Validar disposicao e automatizar comportamento alvo
BR-NPS-002,NPS,Classificação promotor/neutro/detrator e cálculo do NPS,ativo,preserve,PT-NPS-002,unassigned,produto+engenharia,apps/api/src/routes/nps.ts:60-69,proposed,Validar disposicao e automatizar comportamento alvo
BR-NPS-003,NPS,Disparo automático diário de NPS,ativo,preserve,PT-NPS-003,unassigned,produto+engenharia,apps/api/src/cron.ts:235-241,proposed,Validar disposicao e automatizar comportamento alvo
BR-NPS-004,NPS,Survey com expiração e resposta única,ativo,preserve,PT-NPS-004,unassigned,produto+engenharia,apps/api/src/routes/nps.ts:142-151;apps/api/src/routes/nps.ts:83;apps/api/src/routes/nps.ts:131,proposed,Validar disposicao e automatizar comportamento alvo
BR-EXERCICIO-001,EXERCICIO,Plano de exercícios (HEP) nasce ativo,ativo,preserve,PT-EXERCICIO-001,unassigned,responsavel_clinico+engenharia,apps/api/src/routes/exercisePlans.ts:41-48;apps/api/src/routes/exercisePlans.ts:125,proposed,Validar disposicao e automatizar comportamento alvo
BR-EXERCICIO-002,EXERCICIO,Prescrição acessível por QR code sem login,ativo,correct,PT-EXERCICIO-002,unassigned,responsavel_clinico+engenharia,src/routes/router.tsx:57,proposed,Validar disposicao e automatizar comportamento alvo
BR-EXERCICIO-003,EXERCICIO,Contraindicações e indicações por patologia,ativo,preserve,PT-EXERCICIO-003,unassigned,responsavel_clinico+engenharia,packages/db/src/schema/exercises.ts:125-138;packages/db/src/schema/exercises.ts:90,proposed,Validar disposicao e automatizar comportamento alvo
BR-EXERCICIO-004,EXERCICIO,Lembretes de exercício diários (gated),ativo,preserve,PT-EXERCICIO-004,unassigned,responsavel_clinico+engenharia,apps/api/src/cron.ts:101-105;apps/api/src/cron.ts:336-348,proposed,Validar disposicao e automatizar comportamento alvo
BR-EXERCICIO-005,EXERCICIO,Embeddings 1024d para busca semântica,ativo,correct,PT-EXERCICIO-005,unassigned,responsavel_clinico+engenharia,apps/api/src/lib (generateEmbedding1024),proposed,Validar disposicao e automatizar comportamento alvo
BR-RETORNO-001,RETORNO-MEDICO,Pedido de retorno médico persiste até report_sent,ativo,preserve,PT-RETORNO-001,unassigned,responsavel_clinico+engenharia,apps/api/src/routes/medicalRequests.ts:1;apps/api/migrations/0137*;src/components/evolution/MedicalReturnFormModal.tsx:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-RETORNO-002,RETORNO-MEDICO,Envio do relatório ao médico via WhatsApp,ativo,preserve,PT-RETORNO-002,unassigned,responsavel_clinico+engenharia,apps/api/src/lib/medicalReturnReport.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-IA-001,IA,Modelos AI só via registry central,ativo,correct,PT-IA-001,unassigned,produto+engenharia,apps/api/src/lib/workersAi.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-IA-002,IA,Spend limits no AI Gateway,ativo,correct,PT-IA-002,unassigned,produto+engenharia,apps/api/src/lib/workersAi.ts:1 (runAi/gateway),proposed,Validar disposicao e automatizar comportamento alvo
BR-IA-003,IA,Config de IA por org com CHECKs,ativo,correct,PT-IA-003,unassigned,produto+engenharia,apps/api/migrations/0052_ai_config.sql:9-43,proposed,Validar disposicao e automatizar comportamento alvo
BR-IA-004,IA,Rate limit em /api/ai/*,ativo,correct,PT-IA-004,unassigned,produto+engenharia,apps/api/src/middleware/rateLimit.ts:1;apps/api/src/cron.ts:126-129 (cleanupRateLimits),proposed,Validar disposicao e automatizar comportamento alvo
BR-IA-005,IA,Briefing matinal e resumos do ClinicAgent,ativo,defer_experiment,PT-IA-005,unassigned,produto+engenharia,apps/api/src/cron.ts:106-111;apps/api/src/cron.ts:186-233,proposed,Validar disposicao e automatizar comportamento alvo
BR-IA-006,IA,IA no inbox: resumir/sugerir/next-action,ativo,defer_experiment,PT-IA-006,unassigned,produto+engenharia,apps/api/src/lib/inboxAi.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-AUTH-001,AUTH,Papéis da aplicação e guarda de rotas,ativo,correct,PT-AUTH-001,unassigned,engenharia+seguranca,src/components/ProtectedRoute.tsx:132-183;src/routes/admin.tsx:74,proposed,Validar disposicao e automatizar comportamento alvo
BR-AUTH-002,AUTH,Fisioterapeuta sem CRM/marketing/financeiro,ativo,correct,PT-AUTH-002,unassigned,engenharia+seguranca,src/routes/marketing.tsx:66;src/routes/financial.tsx:44,proposed,Validar disposicao e automatizar comportamento alvo
BR-AUTH-003,AUTH,requireRole no backend (admin_only 403),ativo,correct,PT-AUTH-003,unassigned,engenharia+seguranca,apps/api/src/lib/auth.ts:255-283;apps/api/src/lib/auth.ts:197-240,proposed,Validar disposicao e automatizar comportamento alvo
BR-AUTH-004,AUTH,Multi-tenant por RLS app.org_id,contraditorio-no-as-is,correct,PT-AUTH-004,unassigned,engenharia+seguranca,packages/db/src/schema/rls_helper.ts:1;apps/api/migrations/0063_appointment_status_settings.sql:63;reconstruction-dossier/evidence/index.csv:DB-009;reconstruction-dossier/evidence/index.csv:CF-002,proposed,Validar disposicao e automatizar comportamento alvo
BR-AUTH-005,AUTH,Aprovação pendente de novos profissionais,ativo,correct,PT-AUTH-005,unassigned,engenharia+seguranca,src/pages/PendingApproval.tsx:1;src/routes/admin.tsx:165;apps/api/src/routes/invitations.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-AUTH-006,AUTH,Logout via POST /sign-out,ativo,correct,PT-AUTH-006,unassigned,engenharia+seguranca,CLAUDE.md (auth) / src/contexts auth,proposed,Validar disposicao e automatizar comportamento alvo
BR-AUTH-007,AUTH,Auditoria de acessos clínicos,ativo,correct,PT-AUTH-007,unassigned,engenharia+seguranca,apps/api/src/lib/clinicalAccessLog.ts:1;apps/api/src/routes/auditRoutes.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-SISTEMA-001,SISTEMA,Cron */5 sem tocar o banco,ativo,correct,PT-SISTEMA-001,unassigned,engenharia+seguranca,apps/api/src/cron.ts:31-33;apps/api/src/cron.ts:65-67 (comentário),proposed,Validar disposicao e automatizar comportamento alvo
BR-SISTEMA-002,SISTEMA,SLO monitorado com alerta,ativo,preserve,PT-SISTEMA-002,unassigned,engenharia+seguranca,apps/api/src/cron.ts:300-310;apps/api/src/cron.ts:283-291,proposed,Validar disposicao e automatizar comportamento alvo
BR-SISTEMA-003,SISTEMA,Offline-first com fila de sincronização,ativo,correct,PT-SISTEMA-003,unassigned,engenharia+seguranca,src/hooks (usePendingSyncIds);src/components (offline banner),proposed,Validar disposicao e automatizar comportamento alvo
BR-SISTEMA-004,SISTEMA,Templates de mensagem do cron só com templates aprovados,ativo,correct,PT-SISTEMA-004,unassigned,engenharia+seguranca,apps/api/src/cron.ts:88-131;apps/api/src/routes/whatsapp.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-GAMIFICACAO-001,GAMIFICACAO,Gamificação do paciente (pontos/conquistas/loja),ativo,correct,PT-GAMIFICACAO-001,unassigned,produto+engenharia,packages/db/src/schema/gamification.ts:1;apps/api/src/routes/sessions.ts:438-445;src/routes/gamification.tsx:47-97,proposed,Validar disposicao e automatizar comportamento alvo
BR-DOCS-001,PACIENTE,Assinatura digital de documentos por token,ativo,correct,PT-DOCS-001,unassigned,responsavel_clinico+engenharia,src/routes/router.tsx:61;apps/api/src/routes/documentSignatures.ts:1,proposed,Validar disposicao e automatizar comportamento alvo
BR-AGENDA-018,AGENDA,Validações do formulário de agendamento (frontend),ativo,correct,PT-AGENDA-018,unassigned,produto+engenharia,src/lib/validations/agenda.ts:31-51;src/lib/validations/agenda.ts:22,proposed,Validar disposicao e automatizar comportamento alvo
BR-PACIENTE-007,PACIENTE,Validações de paciente (frontend),ativo,preserve,PT-PACIENTE-007,unassigned,responsavel_clinico+engenharia,src/lib/validations/agenda.ts:66-99,proposed,Validar disposicao e automatizar comportamento alvo
BR-CRM-021,CRM,Condução de reserva pelo concierge,ativo,defer_experiment,PT-CRM-021,unassigned,produto+engenharia,apps/api/src/routes/webchat.ts:85-112,proposed,Validar disposicao e automatizar comportamento alvo
BR-EVOLUCAO-014,EVOLUCAO,Histórico de versões da evolução,ativo,preserve,PT-EVOLUCAO-014,unassigned,responsavel_clinico+engenharia,apps/api/src/routes/evolutionVersions.ts:1;packages/db/src/schema/sessions.ts:197,proposed,Validar disposicao e automatizar comportamento alvo
