area,legacy_assets,behavioral_disposition,target_scope,evidence_gate,evidence,current_data_action
projects_time,"projects;time_entries;Jira;Asana;Monday",replace,Projects_complete,"portfólio; projetos; capacidade; timesheets; integrações",feature-status.csv,discard_no_export_no_backup
commerce,"event commerce;voucher checkout;catalog/shop artifacts",replace,Commerce_complete,"catálogo; checkout; pedidos; pagamentos; devolução; fulfillment",BR-FINANCEIRO-009;BR-FINANCEIRO-010,discard_no_export_no_backup
gamification,"patient_gamification;xp_transactions;achievements;quests;shop;leaderboard;user_inventory",replace,Gamification_complete,"pontos; conquistas; desafios; moedas; loja; ranking; inventário virtual",BR-GAMIFICACAO-001,discard_no_export_no_backup
biomechanics,biomechanics_*,defer_experiment,Wearables+Biomechanics_complete,"piloto; consentimento; precisão; algoritmo; retenção de vídeo",feature-status.csv,discard_no_export_no_backup
wearables,"wearable_data;wearable_oauth_tokens",defer_experiment,Wearables+Biomechanics_complete,"consentimento; proveniência; unidades; protocolo; utilidade",feature-status.csv,discard_no_export_no_backup
digital_twin,"digital_twin_snapshots;patient_predictions;risk routes",defer_experiment,DigitalTwin_complete,"dataset; ontologia; governança; validação; incerteza; drift",14.E,discard_no_export_no_backup
telemedicine,"telemedicine_rooms;Jitsi;LiveKit",replace,Telehealth_complete,"provider adapter; identidade; consentimento; tokens; prontuário; fallback",QA-PROD-03;14.C-A12,discard_no_export_no_backup
collaboration,"observacao_ydoc;collaboration routes;Durable Object",replace,Collaboration_complete,"auth; tenancy; presença; conflitos; snapshots; finalização canônica",BR-EVOLUCAO-007,discard_no_export_no_backup
ai_agents,"ai_config;ai_models;agent_memories;agent routes;workflows",replace,AI+Agents_complete,"registry; tools estreitas; avaliações; approval; orçamento; auditoria",BR-IA-001..006,discard_no_export_no_backup
documents_media,"patient_documents;document_signatures;patient_exams;patient_exam_files;medical_attachments;media_gallery;R2 object families",replace,Documents,"hash; metadados; assinatura; retenção; acesso temporário",BR-DOCS-001;doc-10,discard_no_export_no_backup
notifications_devices,"notifications;push_subscriptions;push_tokens",replace,Notifications,"registro novo do dispositivo; conteúdo neutro; logout wipe",feature-status.csv;DB-006,discard_no_export_no_backup
audit_lgpd,"audit_logs;clinical_access_logs;security_events;lgpd_deletion_requests;retention/legal-hold artifacts",replace,Audit+Privacy,"append-only; finalidade; consentimento; retenção; exportação; legal hold",BR-AUTH-007;doc-10,discard_no_export_no_backup
wiki_knowledge,"wiki_*;knowledge_*;clinical_embeddings",correct,Knowledge+Evidence_complete,"conteúdo original/licenciado; fonte; revisão; versão; busca semântica",QA-EFISIO-01,discard_no_export_no_backup
events_partners,"eventos;evento_templates;evento_contratados;prestadores;partner_companies;empresas_parceiras",replace,Events+Partners_complete,"contratos; agenda; pagamentos; operação; sem criar turmas clínicas",screens.csv:/eventos;DB-006,discard_no_export_no_backup
inventory,"clinic_inventory;inventory_movements;suppliers;fornecedores",replace,Inventory_complete,"itens; locais; lotes; movimentos; reservas; compras; fornecedores",feature-status.csv,discard_no_export_no_backup
analytics_read_models,"business_metrics;staff_performance_metrics;generated_reports;events lake/derived aggregates",replace,Analytics_complete,"métricas versionadas; projeções reconstruíveis; células pequenas; autorização",feature-status.csv,discard_no_export_no_backup
calendar_integrations,"google_integrations;google_sync_logs;external calendar tokens",replace,Integrations,"adapter; consentimento; conta nova; credenciais novas; reconciliação",integrations.csv,discard_no_export_no_backup
dicom_pacs,"Orthanc credentials;DICOM/PACS concepts;worklists;studies/series/instances",do_not_port,excluded_DICOM_PACS,"teste de ausência; nenhum viewer; ingestão; bucket; SDK ou placeholder",DEC-017,discard_no_export_no_backup
orphan_assets,"8 unreferenced tables;23 orphan endpoints;8 unmounted modules;4 dead cron cases;1 orphan workflow;orphan CF resources",evidence_only,none,"dependency scan; registrar dívida; não reproduzir implementação órfã",DB-006;14.E,discard_no_export_no_backup
