id,tipo,descricao,origem,ambiente,data,ferramenta,status,confianca,observacoes
SRC-003,codigo,Drizzle cobre só 23 tabelas (packages/db/src/schema + templates.ts) vs 303 no banco; única tabela código-sem-banco = ai_usage_events,rg pgTable,repo@9b5c76f10,2026-07-13,rg,confirmado-no-codigo,alta,
DOC-001,doc,MIGRATIONS_STATUS.md: rastreio manual 0032-0140 com gap 0041-0048 (path antigo workers/migrations),apps/api/migrations/MIGRATIONS_STATUS.md,repo@9b5c76f10,2026-07-13,leitura,documentado,media,sem ledger no banco
DOC-002,doc,ARCHITECTURE.md desatualizado (cita Cloudflare Pages; deploy real = Workers Assets),ARCHITECTURE.md × wrangler.toml,repo@9b5c76f10,2026-07-13,leitura,contraditorio,alta,
RUN-001,runtime,Login em moocafisio.com.br → /agenda como perfil ADMIN (org MOOCA FISIO),moocafisio.com.br/auth/login,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,autenticado pelo dono; somente leitura
RUN-002,runtime,"/agenda = FullCalendar (Dia/Semana/Mês, real-time active, Pacotes/Fila/Agendar/Settings)",moocafisio.com.br/agenda,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,
RUN-003,runtime,Frontend prod consome fisioflow-api.rafalegollas.workers.dev (NÃO api-pro.moocafisio.com.br do wrangler),network requests /patients,producao,2026-07-13,claude-in-chrome,contraditorio,alta,divergência nova — ver 14 e runtime-observations.md
RUN-004,runtime,/patients mostra 986 pacientes — bate com count(*) do banco,moocafisio.com.br/patients,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,valida DB-003
RUN-005,runtime,GET /api/appointments?dateFrom&dateTo&limit=500;/api/exercises?limit=500;/api/patients?status=ativo&limit=500&minimal=true (200),network requests,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,contratos com query params reais
RUN-006,runtime,/financial carrega p/ admin com 8 abas (Resumo/Cobrança/Fluxo/Faturamento/Documentos/Performance/Inteligência/Comissões); valores R$0,moocafisio.com.br/financial,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,financeiro pouco usado (transactions=2)
RUN-007,runtime,Menu admin: 6 grupos (Atendimento/Clínica/Inteligência&IA/Gestão&Operação/Configurações/Painel Admin),sidebar,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,RBAC admin
RUN-008,runtime,Slugs internos em inglês (/patients /exercises /protocols /clinical-tests /financial) vs rótulos PT-BR,menu hrefs,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,
RUN-009,runtime,BUG prod: /patients/{uuid} caía no ErrorBoundary (ReferenceError: Badge is not defined em SurgeriesCard.tsx sem import) — CORRIGIDO e verificado na sessão,console + src/components/evolution/SurgeriesCard.tsx:103,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,corrigido pelo usuário durante a auditoria
RUN-010,runtime,Prontuário /patients/{uuid} tem 12 abas (Visão Geral/Evolução/Linha do Tempo/Analytics&IA/Dados Pessoais/Histórico Clínico/Biomecânica/Financeiro/Gamificação/Arquivos/Tarefas/Evidência) + Agente de Retenção (Cloudflare Autonomous Agent),moocafisio.com.br/patients/{uuid},producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,dados pessoais não reproduzidos
RUN-011,runtime,"/patients tem Cadastros Pendentes, filtros clínicos/financeiros, Cockpit Clínico, Aniversariantes e paginação",moocafisio.com.br/patients,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,sem reproduzir dados pessoais
RUN-000,runtime,Papéis não-admin NÃO observados (só admin); demais estados de erro/vazio não forçados,—,producao,2026-07-13,claude-in-chrome,inacessivel,n/a,lacuna parcial remanescente da fase 3
