method,path,file,auth,roles/permission,entidades,consumidor_front,status
POST,/api/appointments/:id/qr-token,apps/api/src/routes/appointments.ts:774,jwt,,appointments,sim,ativo
GET,/api/financial-analytics/command-center,apps/api/src/routes/financial-analytics.ts:244,jwt,,financial-analytics,sim,ativo
GET,/api/financial-analytics/dre,apps/api/src/routes/financial-analytics.ts:1059,jwt,,financial-analytics,sim,ativo
GET,/api/financial-analytics/reimbursement-patterns,apps/api/src/routes/financial-analytics.ts:1125,jwt,,financial-analytics,sim,ativo
GET,/api/financial-analytics/prediction,apps/api/src/routes/financial-analytics.ts:1185,jwt,,financial-analytics,sim,ativo
GET,/api/financial-analytics/card-mapping/:digits,apps/api/src/routes/financial-analytics.ts:1263,jwt,,financial-analytics,sim,ativo
POST,/api/financial-analytics/card-mapping,apps/api/src/routes/financial-analytics.ts:1289,jwt,,financial-analytics,sim,ativo
GET,/api/protocols,apps/api/src/routes/protocols.ts:49,public,,protocols,sim,ativo
GET,/api/protocols/:id,apps/api/src/routes/protocols.ts:143,public,,protocols,sim,ativo
POST,/api/protocols,apps/api/src/routes/protocols.ts:183,jwt,,protocols,sim,ativo
PUT,/api/protocols/:id,apps/api/src/routes/protocols.ts:228,jwt,,protocols,sim,ativo
DELETE,/api/protocols/:id,apps/api/src/routes/protocols.ts:316,jwt,,protocols,sim,ativo
POST,/api/protocols/:id/exercises,apps/api/src/routes/protocols.ts:334,jwt,,protocols,sim,ativo
PUT,/api/protocols/:id/exercises/:exerciseId,apps/api/src/routes/protocols.ts:374,jwt,,protocols,sim,ativo
DELETE,/api/protocols/:id/exercises/:exerciseId,apps/api/src/routes/protocols.ts:444,jwt,,protocols,sim,ativo
GET,/api/sessions,apps/api/src/routes/sessions.ts:112,jwt,,sessions,sim,ativo
POST,/api/sessions/autosave,apps/api/src/routes/sessions.ts:160,jwt,,sessions,sim,ativo
GET,/api/sessions/:id,apps/api/src/routes/sessions.ts:346,jwt,,sessions,sim,ativo
POST,/api/sessions/:id/finalize,apps/api/src/routes/sessions.ts:379,jwt,,sessions,sim,ativo
POST,/api/sessions,apps/api/src/routes/sessions.ts:478,jwt,,sessions,sim,ativo
PUT,/api/sessions/:id,apps/api/src/routes/sessions.ts:551,jwt,,sessions,sim,ativo
DELETE,/api/sessions/:id,apps/api/src/routes/sessions.ts:666,jwt,,sessions,sim,ativo
GET,/api/sessions/templates,apps/api/src/routes/sessions.ts:711,jwt,,sessions,sim,ativo
POST,/api/sessions/templates,apps/api/src/routes/sessions.ts:752,jwt,,sessions,sim,ativo
PUT,/api/sessions/templates/:templateId,apps/api/src/routes/sessions.ts:774,jwt,,sessions,sim,ativo
DELETE,/api/sessions/templates/:templateId,apps/api/src/routes/sessions.ts:805,jwt,,sessions,sim,ativo
GET,/api/sessions/:id/attachments,apps/api/src/routes/sessions.ts:826,jwt,,sessions,sim,ativo
POST,/api/sessions/:id/attachments,apps/api/src/routes/sessions.ts:860,jwt,,sessions,sim,ativo
DELETE,/api/sessions/:id/attachments/:attachmentId,apps/api/src/routes/sessions.ts:909,jwt,,sessions,sim,ativo
GET,/api/agent-memory/status,apps/api/src/routes/agentMemory.ts:13,jwt,,agentMemory,não,ativo
POST,/api/agent-memory/remember,apps/api/src/routes/agentMemory.ts:21,jwt,,agentMemory,não,ativo
POST,/api/agent-memory/recall,apps/api/src/routes/agentMemory.ts:43,jwt,,agentMemory,não,ativo
GET,/api/enterprise/regional-summary,apps/api/src/routes/enterprise-bi.ts:12,jwt,,enterprise-bi,sim,ativo
GET,/api/enterprise/regional-audit,apps/api/src/routes/enterprise-bi.ts:51,jwt,,enterprise-bi,sim,ativo
GET,/api/knowledge/articles,apps/api/src/routes/knowledge.ts:147,jwt,,knowledge,sim,ativo
POST,/api/knowledge/articles,apps/api/src/routes/knowledge.ts:180,jwt,,knowledge,sim,ativo
PUT,/api/knowledge/articles/:articleId,apps/api/src/routes/knowledge.ts:234,jwt,,knowledge,sim,ativo
POST,/api/knowledge/articles/sync,apps/api/src/routes/knowledge.ts:307,jwt,,knowledge,sim,ativo
POST,/api/knowledge/articles/index,apps/api/src/routes/knowledge.ts:374,jwt,,knowledge,sim,ativo
POST,/api/knowledge/articles/:articleId/process,apps/api/src/routes/knowledge.ts:396,jwt,,knowledge,sim,ativo
POST,/api/knowledge/articles/:articleId/ask,apps/api/src/routes/knowledge.ts:435,jwt,,knowledge,sim,ativo
POST,/api/knowledge/semantic-search,apps/api/src/routes/knowledge.ts:466,jwt,,knowledge,sim,ativo
GET,/api/knowledge/annotations,apps/api/src/routes/knowledge.ts:528,jwt,,knowledge,sim,ativo
PUT,/api/knowledge/annotations/:articleId,apps/api/src/routes/knowledge.ts:559,jwt,,knowledge,sim,ativo
GET,/api/knowledge/curation,apps/api/src/routes/knowledge.ts:638,jwt,,knowledge,sim,ativo
GET,/api/knowledge/articles/:articleId/notes,apps/api/src/routes/knowledge.ts:665,jwt,,knowledge,sim,ativo
POST,/api/knowledge/articles/:articleId/notes,apps/api/src/routes/knowledge.ts:691,jwt,,knowledge,sim,ativo
PUT,/api/knowledge/curation/:articleId,apps/api/src/routes/knowledge.ts:715,jwt,,knowledge,sim,ativo
GET,/api/knowledge/audit,apps/api/src/routes/knowledge.ts:753,jwt,,knowledge,sim,ativo
POST,/api/knowledge/audit,apps/api/src/routes/knowledge.ts:781,jwt,,knowledge,sim,ativo
DELETE,/api/knowledge/articles/:articleId,apps/api/src/routes/knowledge.ts:809,jwt,,knowledge,sim,ativo
GET,/api/knowledge/profiles,apps/api/src/routes/knowledge.ts:827,jwt,,knowledge,sim,ativo
POST,/api/knowledge/upload-paper,apps/api/src/routes/knowledge.ts:874,jwt,,knowledge,sim,ativo
GET,/api/security/mfa/settings,apps/api/src/routes/security.ts:117,jwt,,security,sim,ativo
GET,/api/security/lgpd-consents,apps/api/src/routes/security.ts:126,jwt,,security,sim,ativo
PUT,/api/security/lgpd-consents/:consentType,apps/api/src/routes/security.ts:145,jwt,,security,sim,ativo
POST,/api/security/mfa/enable,apps/api/src/routes/security.ts:202,jwt,,security,sim,ativo
POST,/api/security/mfa/disable,apps/api/src/routes/security.ts:233,jwt,,security,sim,ativo
POST,/api/security/mfa/send-otp,apps/api/src/routes/security.ts:254,jwt,,security,sim,ativo
POST,/api/security/mfa/verify-otp,apps/api/src/routes/security.ts:286,jwt,,security,sim,ativo
POST,/api/security/mfa/enroll,apps/api/src/routes/security.ts:339,jwt,,security,sim,ativo
POST,/api/security/mfa/enroll/verify,apps/api/src/routes/security.ts:362,jwt,,security,sim,ativo
GET,/api/security/mfa/factors,apps/api/src/routes/security.ts:402,jwt,,security,sim,ativo
DELETE,/api/security/mfa/factors/:factorId,apps/api/src/routes/security.ts:421,jwt,,security,sim,ativo
GET,/api/packages,apps/api/src/routes/packages.ts:13,jwt,,packages,sim,ativo
POST,/api/packages,apps/api/src/routes/packages.ts:31,jwt,,packages,sim,ativo
PATCH,/api/packages/:id,apps/api/src/routes/packages.ts:73,jwt,,packages,sim,ativo
DELETE,/api/packages/:id,apps/api/src/routes/packages.ts:132,jwt,,packages,sim,ativo
GET,/api/packages/patient/:patientId,apps/api/src/routes/packages.ts:149,jwt,,packages,sim,ativo
POST,/api/packages/sell,apps/api/src/routes/packages.ts:169,jwt,,packages,sim,ativo
POST,/api/packages/patient-package/:id/use,apps/api/src/routes/packages.ts:219,jwt,,packages,sim,ativo
GET,/api/packages/stats,apps/api/src/routes/packages.ts:295,jwt,,packages,sim,ativo
POST,/api/ai-search,apps/api/src/routes/aiSearch.ts:25,jwt,,aiSearch,sim,ativo
POST,/api/ai-search/ask,apps/api/src/routes/aiSearch.ts:77,jwt,,aiSearch,sim,ativo
POST,/api/ai-search/suggest,apps/api/src/routes/aiSearch.ts:164,jwt,,aiSearch,sim,ativo
GET,/api/ai-search/items,apps/api/src/routes/aiSearch.ts:191,jwt,,aiSearch,sim,ativo
POST,/api/ai-search/items/upload,apps/api/src/routes/aiSearch.ts:209,jwt,,aiSearch,sim,ativo
DELETE,/api/ai-search/items/:id,apps/api/src/routes/aiSearch.ts:237,jwt,,aiSearch,sim,ativo
POST,/api/ai-search/sync,apps/api/src/routes/aiSearch.ts:418,jwt,,aiSearch,sim,ativo
GET,/api/ai-search/exercises,apps/api/src/routes/aiSearch.ts:432,jwt,,aiSearch,sim,ativo
GET,/api/ai-search/recommend,apps/api/src/routes/aiSearch.ts:468,jwt,,aiSearch,sim,ativo
POST,/api/ai-search/exercises/sync,apps/api/src/routes/aiSearch.ts:531,jwt,,aiSearch,sim,ativo
POST,/api/ai-search/wiki/sync,apps/api/src/routes/aiSearch.ts:541,jwt,,aiSearch,sim,ativo
GET,/api/ai-search/unified,apps/api/src/routes/aiSearch.ts:551,jwt,,aiSearch,sim,ativo
GET,/api/ai-search/education,apps/api/src/routes/aiSearch.ts:623,public,,aiSearch,sim,ativo
GET,/api/push-subscriptions,apps/api/src/routes/pushSubscriptions.ts:53,jwt,,pushSubscriptions,sim,ativo
POST,/api/push-subscriptions,apps/api/src/routes/pushSubscriptions.ts:91,jwt,,pushSubscriptions,sim,ativo
PUT,/api/push-subscriptions/deactivate,apps/api/src/routes/pushSubscriptions.ts:184,jwt,,pushSubscriptions,sim,ativo
GET,/api/evidence/search,apps/api/src/routes/evidence.ts:35,jwt,,evidence,sim,ativo
GET,/api/evidence/article/:pmid/fulltext,apps/api/src/routes/evidence.ts:44,jwt,,evidence,sim,ativo
POST,/api/evidence/summarize,apps/api/src/routes/evidence.ts:54,jwt,,evidence,sim,ativo
POST,/api/evidence/save,apps/api/src/routes/evidence.ts:76,jwt,,evidence,sim,ativo
GET,/api/evidence/library,apps/api/src/routes/evidence.ts:88,jwt,,evidence,sim,ativo
GET,/api/evidence/cid10/:code,apps/api/src/routes/evidence.ts:101,jwt,,evidence,sim,ativo
POST,/api/evidence/cid10/suggest,apps/api/src/routes/evidence.ts:109,jwt,,evidence,sim,ativo
GET,/api/evidence/links,apps/api/src/routes/evidence.ts:127,jwt,,evidence,sim,ativo
DELETE,/api/evidence/link/:id,apps/api/src/routes/evidence.ts:148,jwt,,evidence,sim,ativo
GET,/api/calendar/feed/:patientId.ics,apps/api/src/routes/calendar.ts:12,public,,calendar,sim (consumidor externo),ativo
GET,/api/clinical/pathologies/options,apps/api/src/routes/clinical.ts:24,public,,clinical,sim,ativo
GET,/api/clinical/insights,apps/api/src/routes/clinical.ts:35,jwt,,clinical,sim,ativo
GET,/api/instagram/webhook,apps/api/src/routes/instagram-webhook.ts:50,webhook-secret,,mensagens Instagram,desconhecido,ativo
POST,/api/instagram/webhook,apps/api/src/routes/instagram-webhook.ts:61,webhook-secret,,mensagens Instagram,desconhecido,ativo
GET,/api/activities,apps/api/src/routes/eventos.ts:34,jwt,,eventos/inscrições,sim,ativo
GET,/api/activities/:id,apps/api/src/routes/eventos.ts:64,jwt,,eventos/inscrições,sim,ativo
POST,/api/activities,apps/api/src/routes/eventos.ts:79,jwt,,eventos/inscrições,sim,ativo
PUT,/api/activities/:id,apps/api/src/routes/eventos.ts:107,jwt,,eventos/inscrições,sim,ativo
DELETE,/api/activities/:id,apps/api/src/routes/eventos.ts:141,jwt,,eventos/inscrições,sim,ativo
GET,/api/salas,apps/api/src/routes/eventos.ts:154,jwt,,eventos/inscrições,sim,ativo
POST,/api/salas,apps/api/src/routes/eventos.ts:167,jwt,,eventos/inscrições,sim,ativo
PUT,/api/salas/:id,apps/api/src/routes/eventos.ts:185,jwt,,eventos/inscrições,sim,ativo
DELETE,/api/salas/:id,apps/api/src/routes/eventos.ts:207,jwt,,eventos/inscrições,sim,ativo
GET,/api/servicos,apps/api/src/routes/eventos.ts:220,jwt,,eventos/inscrições,sim,ativo
POST,/api/servicos,apps/api/src/routes/eventos.ts:233,jwt,,eventos/inscrições,sim,ativo
PUT,/api/servicos/:id,apps/api/src/routes/eventos.ts:252,jwt,,eventos/inscrições,sim,ativo
DELETE,/api/servicos/:id,apps/api/src/routes/eventos.ts:275,jwt,,eventos/inscrições,sim,ativo
GET,/api/contratados,apps/api/src/routes/eventos.ts:288,jwt,,eventos/inscrições,sim,ativo
POST,/api/contratados,apps/api/src/routes/eventos.ts:306,jwt,,eventos/inscrições,sim,ativo
PUT,/api/contratados/:id,apps/api/src/routes/eventos.ts:345,jwt,,eventos/inscrições,sim,ativo
GET,/api/checklist,apps/api/src/routes/eventos.ts:400,jwt,,eventos/inscrições,sim,ativo
POST,/api/checklist,apps/api/src/routes/eventos.ts:423,jwt,,eventos/inscrições,sim,ativo
PUT,/api/checklist/:id,apps/api/src/routes/eventos.ts:451,jwt,,eventos/inscrições,sim,ativo
DELETE,/api/checklist/:id,apps/api/src/routes/eventos.ts:495,jwt,,eventos/inscrições,sim,ativo
DELETE,/api/contratados/:id,apps/api/src/routes/eventos.ts:508,jwt,,eventos/inscrições,sim,ativo
GET,/api/activity-contractors,apps/api/src/routes/eventos.ts:527,jwt,,eventos/inscrições,sim,ativo
POST,/api/activity-contractors,apps/api/src/routes/eventos.ts:558,jwt,,eventos/inscrições,sim,ativo
PUT,/api/activity-contractors/:id,apps/api/src/routes/eventos.ts:610,jwt,,eventos/inscrições,sim,ativo
DELETE,/api/activity-contractors/:id,apps/api/src/routes/eventos.ts:655,jwt,,eventos/inscrições,sim,ativo
GET,/api/participantes,apps/api/src/routes/eventos.ts:674,jwt,,eventos/inscrições,sim,ativo
POST,/api/participantes,apps/api/src/routes/eventos.ts:703,jwt,,eventos/inscrições,sim,ativo
PUT,/api/participantes/:id,apps/api/src/routes/eventos.ts:752,jwt,,eventos/inscrições,sim,ativo
DELETE,/api/participantes/:id,apps/api/src/routes/eventos.ts:797,jwt,,eventos/inscrições,sim,ativo
GET,/api/activity-templates,apps/api/src/routes/eventos.ts:816,jwt,,eventos/inscrições,sim,ativo
GET,/api/activity-templates/:id,apps/api/src/routes/eventos.ts:837,jwt,,eventos/inscrições,sim,ativo
POST,/api/activity-templates,apps/api/src/routes/eventos.ts:856,jwt,,eventos/inscrições,sim,ativo
DELETE,/api/activity-templates/:id,apps/api/src/routes/eventos.ts:887,jwt,,eventos/inscrições,sim,ativo
GET,/api/exercise-sessions,apps/api/src/routes/exerciseSessions.ts:10,jwt,,exerciseSessions,sim,ativo
POST,/api/exercise-sessions,apps/api/src/routes/exerciseSessions.ts:38,jwt,,exerciseSessions,sim,ativo
GET,/api/exercise-sessions/stats/:patientId,apps/api/src/routes/exerciseSessions.ts:117,jwt,,exerciseSessions,sim,ativo
GET,/api/activity-lab/patients,apps/api/src/routes/activityLab.ts:99,jwt,,activityLab,sim,ativo
GET,/api/activity-lab/patients/:id,apps/api/src/routes/activityLab.ts:146,jwt,,activityLab,sim,ativo
GET,/api/activity-lab/patients/:id/sessions,apps/api/src/routes/activityLab.ts:181,jwt,,activityLab,sim,ativo
GET,/api/activity-lab/sessions/:id,apps/api/src/routes/activityLab.ts:202,jwt,,activityLab,sim,ativo
GET,/api/activity-lab/clinic/profile,apps/api/src/routes/activityLab.ts:223,jwt,,activityLab,sim,ativo
GET,/api/inventory/status,apps/api/src/routes/inventory.ts:12,jwt,,inventory,sim,ativo
GET,/api/post-discharge/at-risk,apps/api/src/routes/postDischargeReactivation.ts:22,jwt,,postDischargeReactivation,sim,ativo
POST,/api/post-discharge/trigger-followup,apps/api/src/routes/postDischargeReactivation.ts:85,jwt,,postDischargeReactivation,sim,ativo
GET,/api/whatsapp/webhook,apps/api/src/routes/whatsapp-webhook.ts:96,webhook-secret,,mensagens WhatsApp (Meta),desconhecido,ativo
POST,/api/whatsapp/webhook,apps/api/src/routes/whatsapp-webhook.ts:109,webhook-secret,,mensagens WhatsApp (Meta),desconhecido,ativo
GET,/api/goal-profiles,apps/api/src/routes/goalProfiles.ts:18,jwt,,goalProfiles,sim,ativo
GET,/api/goal-profiles/:id,apps/api/src/routes/goalProfiles.ts:35,jwt,,goalProfiles,sim,ativo
POST,/api/goal-profiles,apps/api/src/routes/goalProfiles.ts:49,jwt,,goalProfiles,sim,ativo
PUT,/api/goal-profiles/:id,apps/api/src/routes/goalProfiles.ts:87,jwt,,goalProfiles,sim,ativo
POST,/api/goal-profiles/:id/publish,apps/api/src/routes/goalProfiles.ts:137,jwt,,goalProfiles,sim,ativo
DELETE,/api/goal-profiles/:id,apps/api/src/routes/goalProfiles.ts:153,jwt,,goalProfiles,sim,ativo
GET,/api/wger/search,apps/api/src/routes/wger.ts:12,jwt,,wger,não,ativo
POST,/api/wger/enrich,apps/api/src/routes/wger.ts:29,jwt,,wger,não,ativo
GET,/api/audit-logs,apps/api/src/routes/auditRoutes.ts:8,jwt,,audit_logs,sim,ativo
POST,/api/audit-logs,apps/api/src/routes/auditRoutes.ts:22,jwt,,audit_logs,sim,ativo
GET,/api/events-lake,apps/api/src/routes/eventsLake.ts:71,jwt,,eventsLake,sim,ativo
POST,/api/patient-media/upload-url,apps/api/src/routes/patientMedia.ts:91,jwt,,patientMedia,sim,ativo
GET,/api/patient-media/access-url/*,apps/api/src/routes/patientMedia.ts:158,jwt,,patientMedia,sim,ativo
GET,/api/patient-media/image/*,apps/api/src/routes/patientMedia.ts:182,jwt,,patientMedia,sim,ativo
GET,/api/patient-media/:patientId/photos,apps/api/src/routes/patientMedia.ts:250,jwt,,patientMedia,sim,ativo
POST,/api/patient-media/:patientId/photos,apps/api/src/routes/patientMedia.ts:272,jwt,,patientMedia,sim,ativo
DELETE,/api/patient-media/:patientId/photos/:id,apps/api/src/routes/patientMedia.ts:312,jwt,,patientMedia,sim,ativo
GET,/api/patient-media/:patientId/videos,apps/api/src/routes/patientMedia.ts:339,jwt,,patientMedia,sim,ativo
POST,/api/patient-media/:patientId/videos,apps/api/src/routes/patientMedia.ts:357,jwt,,patientMedia,sim,ativo
DELETE,/api/patient-media/:patientId/videos/:id,apps/api/src/routes/patientMedia.ts:396,jwt,,patientMedia,sim,ativo
GET,/api/patient-media/:patientId/medical-requests,apps/api/src/routes/patientMedia.ts:425,jwt,,patientMedia,sim,ativo
POST,/api/patient-media/:patientId/medical-requests,apps/api/src/routes/patientMedia.ts:439,jwt,,patientMedia,sim,ativo
PATCH,/api/patient-media/:patientId/medical-requests/:id,apps/api/src/routes/patientMedia.ts:471,jwt,,patientMedia,sim,ativo
DELETE,/api/patient-media/:patientId/medical-requests/:id,apps/api/src/routes/patientMedia.ts:508,jwt,,patientMedia,sim,ativo
GET,/api/tarefas/by-entity/:type/:entityId,apps/api/src/routes/tarefas.ts:263,jwt,,tarefas,sim,ativo
POST,/api/tarefas/ai/suggest-priority,apps/api/src/routes/tarefas.ts:284,jwt,,tarefas,sim,ativo
POST,/api/tarefas/ai/weekly-summary,apps/api/src/routes/tarefas.ts:317,jwt,,tarefas,sim,ativo
GET,/api/tarefas/reports/flow,apps/api/src/routes/tarefas.ts:365,jwt,,tarefas,sim,ativo
GET,/api/tarefas/templates,apps/api/src/routes/tarefas.ts:412,jwt,,tarefas,sim,ativo
POST,/api/tarefas/templates,apps/api/src/routes/tarefas.ts:427,jwt,,tarefas,sim,ativo
DELETE,/api/tarefas/templates/:templateId,apps/api/src/routes/tarefas.ts:456,jwt,,tarefas,sim,ativo
GET,/api/tarefas,apps/api/src/routes/tarefas.ts:468,jwt,,tarefas,sim,ativo
POST,/api/tarefas,apps/api/src/routes/tarefas.ts:509,jwt,,tarefas,sim,ativo
