fornecedor,finalidade,dominio,fluxo,auth_tipo(nome do secret),webhooks,retry/idempotencia,ambiente,status,lock_in_risco
Google Fit,Wearables (OAuth),www.googleapis.com,both,GOOGLE_CLIENT_ID/GOOGLE_CLIENT_SECRET,callback /api/wearables/oauth/google_fit/callback,refresh token,prod,ativo,baixo
wger,Importação de catálogo de exercícios open-source,wger.de,in,WGER_API_TOKEN,não,import job manual,prod,ativo,baixo
Axiom,Log analytics estruturado,api.axiom.co,out,AXIOM_TOKEN (+AXIOM_ORG_ID/AXIOM_DATASET),não,fire-and-forget via waitUntil,prod,ativo,baixo
ntfy.sh,Alertas operacionais push (health/SLO) ao celular do Rafael,ntfy.sh,out,tópico público MONITOR_NTFY_TOPIC (sem secret),não,fire-and-forget,prod,ativo,baixo
Expo Push,Push notifications dos apps mobile (patient-app/professional-app),exp.host,out,sem secret (tokens de device),não,best-effort,prod,ativo,médio (acoplado ao ecossistema Expo)
Jitsi Meet,Telemedicina: sala de vídeo pública por roomCode,meet.jit.si,out,sem auth (URL pública),não,n/a,prod,ativo,baixo (mas sem privacidade garantida — sala pública)
LiveKit,Telemedicina: token JWT gerado manualmente no Worker,LIVEKIT_URL (*.livekit.cloud),out,LIVEKIT_API_KEY/LIVEKIT_API_SECRET,não,n/a,prod,parcial (URL placeholder default),baixo
QuickChart,Geração de gráficos em relatórios,quickchart.io,out,sem auth,não,best-effort,prod,ativo,baixo
Google Maps,Geocoding/links de endereço,maps.googleapis.com,out,GOOGLE_MAPS_API_KEY (vazio em prod),não,n/a,prod,configurado-desligado,baixo
R2 SQL (Data Catalog),Consulta ao data lake Iceberg (events/sessions_archive),api.sql.cloudflarestorage.com,out,R2_SQL_TOKEN,não,ausente = data lake off,prod,ativo,alto
Inngest (removido),Antigo orquestrador de jobs — client agora só repassa à BACKGROUND_QUEUE,n/a (sem chamada externa),out,INNGEST_SIGNING_KEY (residual),não,n/a,prod,órfão/residual,nenhum
DICOM (PACS),Integração de imagens médicas prevista,DICOM_BASE_URL (configurável),in,DICOM_AUTH_TOKEN/DICOM_AUTH_HEADER,não,n/a,não configurado,parcial,baixo
